source_column,name,display_name,type,description,allowed_values,nullable,constraints,collection,priority,aliases
slice_thickness,slice_thickness,Slice Thickness,float,Thickness of the tissue slice in micrometers.,,True,"{'min': 0.1, 'max': 1000.0}",pathology,,[]
other_case_identifiers,other_case_identifiers,Other Case Identifiers,string,List of other case identifiers associated with the case.,,True,,screening,,[]
highest_level_of_education,highest_level_of_education,Highest Level Of Education,enum,Highest level of educational attainment completed by participant.,"['0', '1', '2', '3', '4']",True,,demographics,,[]
last_casi_score,last_casi_score,Last Casi Score,float,Last recorded Cognitive Abilities Screening Instrument total score.,,True,"{'min': 0.0, 'max': 100.0}",screening,,[]
mother_dementia_type,mother_dementia_type,Mother Dementia Type,string,Type of dementia diagnosed in biological mother.,,True,,clinical,,[]
father_dementia_type,father_dementia_type,Father Dementia Type,string,Type of dementia diagnosed in biological father.,,True,,clinical,,[]
banked_brain_frozen,banked_brain_frozen,Banked Brain Frozen,enum,Frozen brain tissue available in biobank.,"['false', 'true']",True,,Pathology,,[]
banked_cerebellum_dna,banked_cerebellum_dna,Banked Cerebellum Dna,enum,Frozen cerebellum or DNA sample available in biobank.,"['false', 'true']",True,,Pathology,,[]
banked_brain_fixed,banked_brain_fixed,Banked Brain Fixed,enum,Formalin or paraformaldehyde-fixed brain tissue available in biobank.,"['false', 'true']",True,,Pathology,,[]
banked_paraffin_blocks,banked_paraffin_blocks,Banked Paraffin Blocks,enum,Paraffin-embedded tissue blocks available in biobank.,"['false', 'true']",True,,Pathology,,[]
path_cerad,path_cerad,Path Cerad,enum,Consortium to Establish a Registry for Alzheimer's Disease neuritic plaques assessment.,"['0', '1', '2', '3']",True,,Pathology,,[]
path_mckeith,path_mckeith,Path Mckeith,enum,McKeith Lewy body disease classification.,"['neocortical', 'limbic_transitional', 'brainstem', 'amygdala_predominant', 'olfactory_bulb_only', 'olfactory_only', 'brainstem_predominant', 'limbic']",True,,Pathology,,[]
path_usslbd,path_usslbd,Path Usslbd,enum,Unified Staging System for Lewy Body Diseases stage.,"['olfactory_bulb_only', 'brainstem_predominant', 'limbic_predominant', 'brainstem_limbic', 'neocortical']",True,,Pathology,,[]
path_substantia_nigra_neuronal_loss,path_substantia_nigra_neuronal_loss,Path Substantia Nigra Neuronal Loss,enum,Substantia nigra neuronal loss severity.,"['0', '1', '2', '3']",True,,Pathology,,[]
path_infarcts,path_infarcts,Path Infarcts,enum,Cerebral infarcts present.,"['0', '1']",True,,Pathology,,[]
path_nia_ri,path_nia_ri,Path Nia Ri,enum,National Institute on Aging-Reagan Institute neuropathological criteria score.,"['0', '1', '2', '3']",True,,Pathology,,[]
path_nia_aa_a,path_nia_aa_a,Path Nia Aa A,enum,National Institute on Aging-Alzheimer's Association amyloid-beta pathological criteria score.,"['0', '1', '2', '3']",True,,Pathology,,[]
path_nia_aa_b,path_nia_aa_b,Path Nia Aa B,enum,National Institute on Aging-Alzheimer's Association tau pathological criteria score.,"['0', '1', '2', '3']",True,,Pathology,,[]
path_nia_aa_c,path_nia_aa_c,Path Nia Aa C,enum,National Institute on Aging-Alzheimer's Association neurodegeneration pathological criteria score.,"['0', '1', '2', '3']",True,,Pathology,,[]
cerebral_amyloid_angiopathy_any,cerebral_amyloid_angiopathy_any,Cerebral Amyloid Angiopathy Any,enum,Cerebral amyloid angiopathy present.,"['false', 'true']",True,,Pathology,,[]
uds_dementia_status,uds_dementia_status,Uds Dementia Status,integer,Uniform Data Set dementia status code.,,True,"{'min': 1.0, 'max': 9.0}",clinical,,[]
path_braak_neurofibrillary_tangle_stage,path_braak_neurofibrillary_tangle_stage,Path Braak Neurofibrillary Tangle Stage,float,Braak neurofibrillary tangle stage.,,True,"{'min': 0.0, 'max': 6.0}",Pathology,,[]
path_braak_alpha_synuclein_stage,path_braak_alpha_synuclein_stage,Path Braak Alpha Synuclein Stage,float,Braak Lewy body stage.,,True,"{'min': 0.0, 'max': 6.0}",Pathology,,[]
path_thal,path_thal,Path Thal,float,Thal phase amyloid-beta distribution stage.,,True,"{'min': 0.0, 'max': 5.0}",Pathology,,[]
slide_paths,slide_paths,Slide Paths,string,File system paths or references to digital slide images,,False,,,Required,[]
sex,sex,Sex,enum,Sex assigned at birth,"['male', 'female', 'intersex', 'other']",True,,demographics,,[]
stain_type,stain_type,Stain Type,enum,Histological and immunohistochemical stains applied to the tissue section.,"['pTDP-43', 'aSyn', 'HE', 'Silver', 'Thioflavin', 'pTau', 'aBeta', 'LFB', 'GFAP', 'IBA1', 'NeuN', 'p62', 'ubiquitin', 'Tau-3R', 'Tau-4R', 'npTDP-43', 'AT8', 'Beta-Amy', 'Hirano', 'LFB/H&E']",False,,pathology,Required,[]
age_at_death,age_at_death,Age At Death,integer,Age at death,,True,"{'min': 15.0, 'max': 120.0}",pathology,,[]
primary_dx,primary_dx,Primary Dx,enum,Primary neurodegenerative diagnosis based on clinical assessment.,,True,,diagnosis,,[]
autopsy_dx,autopsy_dx,Autopsy Dx,enum,Primary neurodegenerative diagnosis based on neuropathological autopsy findings.,,False,,diagnosis,,[]
slice_hemisphere,slice_hemisphere,Slice Hemisphere,enum,Brain hemisphere of the tissue slice.,"['left', 'right']",True,,screening,,[]
slice_orientation_dup15,slice_orientation,Slice Orientation,enum,Anatomical orientation of the tissue slice.,"['axial', 'coronal', 'sagittal']",True,,screening,,[]
age,age,Age,integer,Age at assessment in years,,True,"{'min': 0.0, 'max': 120.0}",demographics,,[]
birth_date,birth_date,Birth Date,date,Date of birth.,,True,,demographics,,[]
brain_region,brain_region,Brain Region,enum,Brain region identifiers for the tissue specimen.,,True,,screening,,[]
institution,institution,Institution,string,Name of the institution where the data was collected.,,True,,id,,[]
study,study,Study,string,research study/project name,,False,,,Required,[]
